Genome	BioSample	env_broad_scale	env_local_scale	env_medium	isolation_source
MGYG000298322	SAMEA10110196	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000299103	SAMEA8395135	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298035	SAMEA8395190	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298826	SAMN14570861	human oral	human oral	saliva	saliva
MGYG000298111	SAMEA8395117	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298570	SAMEA9943397	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298902	SAMEA8395263	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298206	SAMEA8395102	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299027	SAMN14570636	human oral	human oral	saliva	saliva
MGYG000298667	SAMEA8395213	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298049	SAMN14570856	human oral	human oral	saliva	saliva
MGYG000298669	SAMEA8395297	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298350	SAMEA8395112	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298381	SAMEA8395122	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298118	SAMN14602648	NA	NA	NA	dental plaque
MGYG000298091	SAMEA10220497	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298040	SAMEA8395131	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298421	SAMN14570803	human oral	human oral	saliva	saliva
MGYG000299083	SAMEA8395086	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298505	SAMEA9943313	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000299052	SAMEA10220485	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
