Genome	BioSample	env_broad_scale	env_local_scale	env_medium	isolation_source
MGYG000298193	SAMEA8395304	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298068	SAMN14602653	NA	NA	NA	dental plaque
MGYG000299249	SAMEA10110183	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298697	SAMEA10220524	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298923	SAMEA10110160	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298551	SAMEA8395088	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298646	SAMEA9943356	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298303	SAMEA10110188	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000299235	SAMN14602662	NA	NA	NA	tongue scraping
MGYG000298475	SAMEA8395173	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298013	SAMN14570735	human oral	human oral	saliva	saliva
MGYG000298378	SAMEA8395251	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299188	SAMEA8391137	human-associated habitat	human oral cavity	subgingival plaque	Human Oral Subgingival Plaque
MGYG000298690	SAMEA8395126	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298137	SAMEA8395272	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298556	SAMEA8395303	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299001	SAMN14570584	human oral	human oral	saliva	saliva
MGYG000299207	SAMEA9943334	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298750	SAMEA9921441	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000298496	SAMEA8395300	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298608	SAMN14602669	NA	NA	NA	tongue scraping
MGYG000298849	SAMN14570710	human oral	human oral	saliva	saliva
MGYG000298563	SAMEA9640639	human	oral cavity	saliva	human saliva metagenome
MGYG000298102	SAMN14571089	human oral	human oral	saliva	saliva
MGYG000299033	SAMEA10220462	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298673	SAMEA8395246	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298105	SAMEA9943420	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000299200	SAMEA10220437	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298832	SAMEA8395293	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298021	SAMN14570687	human oral	human oral	saliva	saliva
MGYG000298757	SAMEA10110212	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298432	SAMEA8395241	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298840	SAMEA10220502	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000299272	SAMEA8395276	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298053	SAMEA8395231	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298725	SAMEA10220463	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298344	SAMEA8395202	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298918	SAMEA10110211	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298788	SAMEA8395151	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298759	SAMEA8395262	human-associated habitat	human oral cavity	not provided	not provided
