Genome	Specimen	env_broad_scale	env_local_scale	env_medium	isolation_source
MGYG000298770	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298538	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298159	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000299137	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298777	Oral_saliva	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298125	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298621	Oral_saliva	human	oral cavity	saliva	human saliva metagenome
MGYG000298536	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298944	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298779	Oral_plaque	NA	NA	NA	dental plaque
MGYG000298860	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299252	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299145	Oral_saliva	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000299193	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298702	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298363	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298181	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298626	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298943	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298531	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298296	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000299270	Oral_saliva	human	oral cavity	saliva	human saliva metagenome
MGYG000298842	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298893	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298346	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299167	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298080	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298727	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298568	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000299043	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000299092	Oral_saliva	human-associated habitat	human oral cavity	saliva	Human saliva
MGYG000298514	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298966	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298265	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298961	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298513	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298437	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298341	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000299160	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298678	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298024	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000299205	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298445	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298837	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298494	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298333	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298089	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298676	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298348	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299031	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298023	Oral_saliva	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298830	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299202	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298334	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000299004	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298225	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298582	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298760	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000299120	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298301	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299237	Oral_saliva	human-associated habitat	human oral cavity	saliva	Human saliva
MGYG000298692	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299003	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298222	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298769	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299129	Oral_saliva	human-associated habitat	human oral cavity	saliva	Human saliva
MGYG000298526	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298985	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298402	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298063	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298405	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298479	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298953	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299076	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298636	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298866	Oral_cavity	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000299192	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000299067	Oral_saliva	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298627	Oral_cavity	NA	NA	NA	tongue scraping
MGYG000298993	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298942	Oral_cavity	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000298530	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298187	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298945	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298290	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298156	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000299138	Oral_cavity	NA	NA	NA	tongue scraping
MGYG000298319	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298861	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000299253	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298072	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298365	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299136	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298594	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298545	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298937	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000299015	Oral_saliva	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298542	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298629	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298466	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298905	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298359	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298388	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298979	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298482	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298453	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298322	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000299103	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298035	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298826	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298111	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298570	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298902	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298206	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299027	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298667	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298049	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298669	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298350	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298381	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298118	Oral_plaque	NA	NA	NA	dental plaque
MGYG000298091	Oral_saliva	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298040	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298421	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000299083	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298505	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000299052	Oral_saliva	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
