Genome	Specimen	env_broad_scale	env_local_scale	env_medium	isolation_source
MGYG000299148	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298236	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298591	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299017	Oral_cavity	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000298932	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298079	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299258	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298418	Oral_plaque	NA	NA	NA	dental plaque
MGYG000298773	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298659	Oral_plaque	NA	NA	NA	dental plaque
MGYG000299190	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298077	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298864	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299256	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298360	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298991	Oral_saliva	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298182	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298153	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299062	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298154	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298292	Oral_saliva	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298947	Oral_plaque	NA	NA	NA	dental plaque
MGYG000298128	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298070	Oral_plaque	NA	NA	NA	dental plaque
MGYG000299251	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298524	Oral_saliva	human	oral cavity	saliva	human saliva metagenome
MGYG000298956	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299073	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298376	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000299240	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298400	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298139	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298558	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298371	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298066	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298875	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299008	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298142	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298523	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298193	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298068	Oral_plaque	NA	NA	NA	dental plaque
MGYG000299249	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298697	Oral_saliva	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298923	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298551	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298646	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298303	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000299235	Oral_cavity	NA	NA	NA	tongue scraping
MGYG000298475	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298013	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298378	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299188	Oral_plaque	human-associated habitat	human oral cavity	subgingival plaque	Human Oral Subgingival Plaque
MGYG000298690	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298137	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298556	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299001	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000299207	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298750	Oral_cavity	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000298496	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298608	Oral_cavity	NA	NA	NA	tongue scraping
MGYG000298849	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298563	Oral_saliva	human	oral cavity	saliva	human saliva metagenome
MGYG000298102	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000299033	Oral_saliva	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298673	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298105	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000299200	Oral_saliva	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298832	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298021	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298757	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298432	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298840	Oral_saliva	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000299272	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298053	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298725	Oral_saliva	Human saliva metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298344	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298918	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298788	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298759	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298338	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000299041	Oral_cavity	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000298964	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298177	Oral_cavity	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000298449	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298028	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298267	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298963	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298392	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298054	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298085	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298896	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299153	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298404	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298065	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298478	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298952	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298190	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298256	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299128	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298309	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000298146	Oral_plaque	human-associated habitat	human oral cavity	subgingival plaque	Human Oral Subgingival Plaque
MGYG000298197	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000299070	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human saliva metagenome
MGYG000298714	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298375	Oral_cavity	Human oral metagenome	Human oral cavity	Saliva	human oral metagenome
MGYG000298403	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000298929	Oral_saliva	human oral	human oral	saliva	saliva
MGYG000299126	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
MGYG000299231	Oral_cavity	Human oral metagenome	Human oral cavity	Human oral cavity	human oral metagenome
MGYG000298471	Oral_cavity	human-associated habitat	human oral cavity	not provided	not provided
